Customer_ID,Marital_Status,SSN,Occupation,Num_Bank_Accounts,Num_Credit_Cards,Credit_Utilization_Ratio,Outstanding_Debt,Monthly_Balance,Credit_Score,Credit_Mix,Num_Loans,Loan_Types,Credit_Inquiries,Total_EMI,Min_Amount_Paid,Payment_Behaviour,Collateral_Type,Collateral_Value,Interest_Rate,Due_Date_Delay,Delayed_Payments,Credit_Limit_Change
1,Married,821-00-0265,Scientist,3,4,22.53759303178384,809.98,244.5653167062043,Good,Good,4,"Auto Loan, Credit-Builder Loan, Personal Loan, and Home Equity Loan",4.0,49.57494921489417,No,Low_spent_Small_value_payments,Vehicle,118726,3,3,8_,11.27
2,Separated,031-35-0942,Architect,10,8,24.713861383627574,3571.7,345.7431008025983,Poor,Bad,5,"Personal Loan, Auto Loan, Mortgage Loan, Student Loan, and Student Loan",9.0,60.964772373422434,Yes,Low_spent_Small_value_payments,Stocks,146222,29,33,25,18.31
3,Married,004-07-5839,Teacher,2,4,32.933856293622235,605.03,356.07810855965045,Good,Good,1,Credit-Builder Loan,2.0,18.816214573128885,No,Low_spent_Small_value_payments,Stocks,191951,6,3,4,5.42
4,Single,419-82-4747,Lawyer,6,8,28.26503101810584,1360.45,273.3195894588705,Poor,Bad,3,"Credit-Builder Loan, Personal Loan, and Credit-Builder Loan",9.0,100.0696282404713,Yes,Low_spent_Small_value_payments,Stocks,169782,27,59,15,8.76
5,Single,411-59-6345,Musician,3,3,32.445301543503454,728.23,280.2930572287525,Good,Good,4,"Personal Loan, Credit-Builder Loan, Personal Loan, and Not Specified",5.0,91.9256691821617,No,Low_spent_Small_value_payments,No Collateral,164196,7,14,9,10.81
6,Single,318-14-7292,Mechanic,8,6,36.55791340400005,786.55,323.69049822059856,Standard,Standard,3,"Payday Loan, Home Equity Loan, and Payday Loan",8.0,53.92845731545354,Yes,Low_spent_Medium_value_payments,No Collateral,162859,16,16,8,18.62
7,Married,612-70-8987,Lawyer,4,5,36.624791261837636,548.2,510.36110048740534,Standard,_,0,,2.0,0.0,No,High_spent_Small_value_payments,Vehicle,114757,8,8,4,9.14
8,Married,411-51-0676,Lawyer,0,1,29.187912654166695,352.16,396.1113462137519,Good,Good,2,"Credit-Builder Loan, and Mortgage Loan",4.0,911.2201793459374,No,Low_spent_Medium_value_payments,Property,0,8,0,2,9.34
9,Widowed,893-41-6003,Musician,4,5,29.125062428200486,735.8,326.53707488322283,Standard,Standard,1,Personal Loan,0.0,52448.0,NM,Low_spent_Medium_value_payments,Property,106451,16,12,12,10.0
10,Single,070-19-1622,Doctor,2,5,27.813353640375272,1377.74,742.9221908300779,Standard,Good,3,"Personal Loan, Debt Consolidation Loan, and Auto Loan",8.0,226.89279192154316,No,High_spent_Large_value_payments,Bonds,97412,7,11,11,8.24
11,Single,366-68-1681,Journalist,1,6,22.762202172732568,421.43,337.51230376982244,Good,Good,-100,"Not Specified, and Payday Loan",5.0,46.616129073342066,No,Low_spent_Small_value_payments,Bonds,84300,12,-1,2,5.76
